id,name,images,emote_type,emote_set_id,owner_id
300852344,alivaeHAPPY,https://static-cdn.jtvnw.net/emoticons/v1/300852344/3.0,subscriptions,300010739,170636349
302903653,za1nwRage,https://static-cdn.jtvnw.net/emoticons/v1/302903653/3.0,subscriptions,300010741,185663009
302992309,za1nwClown,https://static-cdn.jtvnw.net/emoticons/v1/302992309/3.0,subscriptions,300010742,185663009
302903665,za1nwLove,https://static-cdn.jtvnw.net/emoticons/v1/302903665/3.0,subscriptions,300010743,185663009
301617171,yaboyzLove,https://static-cdn.jtvnw.net/emoticons/v1/301617171/3.0,subscriptions,300010750,48117603
301080187,yaboyzZubot,https://static-cdn.jtvnw.net/emoticons/v1/301080187/3.0,subscriptions,300010750,48117603
300242656,yaboyzAngry,https://static-cdn.jtvnw.net/emoticons/v1/300242656/3.0,subscriptions,300010750,48117603
300137387,yaboyzHype,https://static-cdn.jtvnw.net/emoticons/v1/300137387/3.0,subscriptions,300010750,48117603
300062158,jackdeAighttt,https://static-cdn.jtvnw.net/emoticons/v1/300062158/3.0,subscriptions,300010753,85602088
300023235,raymunLOL,https://static-cdn.jtvnw.net/emoticons/v1/300023235/3.0,subscriptions,300010759,273480379
300029162,raymunMGF,https://static-cdn.jtvnw.net/emoticons/v1/300029162/3.0,subscriptions,300010760,273480379
303404130,argonyKek,https://static-cdn.jtvnw.net/emoticons/v1/303404130/3.0,subscriptions,300010762,113263696
306648560,argonyWtf,https://static-cdn.jtvnw.net/emoticons/v1/306648560/3.0,subscriptions,300010763,113263696
304338028,malienAsian,https://static-cdn.jtvnw.net/emoticons/v1/304338028/3.0,subscriptions,300010777,263163070
304337913,malienLove,https://static-cdn.jtvnw.net/emoticons/v1/304337913/3.0,subscriptions,300010777,263163070
304337879,malienHype,https://static-cdn.jtvnw.net/emoticons/v1/304337879/3.0,subscriptions,300010778,263163070
304337882,malienNerd,https://static-cdn.jtvnw.net/emoticons/v1/304337882/3.0,subscriptions,300010779,263163070
304775625,xdonte1DAB,https://static-cdn.jtvnw.net/emoticons/v1/304775625/3.0,subscriptions,300010780,158165133
300770289,xdonte1Rock,https://static-cdn.jtvnw.net/emoticons/v1/300770289/3.0,subscriptions,300010780,158165133
300731486,xdonte1Okay,https://static-cdn.jtvnw.net/emoticons/v1/300731486/3.0,subscriptions,300010780,158165133
300392617,xdonte1Love,https://static-cdn.jtvnw.net/emoticons/v1/300392617/3.0,subscriptions,300010780,158165133
300063522,xdonte1Yellowsnow,https://static-cdn.jtvnw.net/emoticons/v1/300063522/3.0,subscriptions,300010780,158165133
301769620,xdonte1RockaBilly,https://static-cdn.jtvnw.net/emoticons/v1/301769620/3.0,subscriptions,300010781,158165133
301769632,xdonte1Noyellow,https://static-cdn.jtvnw.net/emoticons/v1/301769632/3.0,subscriptions,300010782,158165133
